,Permit Creation Date,Revised Cost,Zipcode,Revised_Cost_Range,Low,Very Low,High,Medium,Very High,Extremely High
0,2015-05-06,4000.0,94102.0,Low,1,0,0,0,0,0
1,2016-04-19,500.0,94102.0,Very Low,0,1,0,0,0,0
2,2016-05-27,111277.0,94109.0,High,0,0,1,0,0,0
3,2016-11-07,2000.0,94109.0,Low,1,0,0,0,0,0
4,2016-11-28,100000.0,94102.0,Medium,0,0,0,1,0,0
5,2017-06-14,4000.0,94107.0,Low,1,0,0,0,0,0
6,2017-06-30,12000.0,94122.0,Medium,0,0,0,1,0,0
7,2017-06-30,0.0,94124.0,Very Low,0,1,0,0,0,0
8,2017-07-05,1.0,94117.0,Very Low,0,1,0,0,0,0
9,2017-07-06,0.0,94117.0,Very Low,0,1,0,0,0,0
10,2017-07-06,1.0,94114.0,Very Low,0,1,0,0,0,0
11,2017-07-07,1.0,94102.0,Very Low,0,1,0,0,0,0
12,2017-07-10,1.0,94114.0,Very Low,0,1,0,0,0,0
13,2017-07-25,0.0,94131.0,Very Low,0,1,0,0,0,0
14,2017-07-26,1.0,94115.0,Very Low,0,1,0,0,0,0
15,2017-07-27,1.0,94108.0,Very Low,0,1,0,0,0,0
16,2017-07-27,1.0,94104.0,Very Low,0,1,0,0,0,0
17,2017-07-27,1.0,94114.0,Very Low,0,1,0,0,0,0
18,2017-07-28,0.0,94123.0,Very Low,0,1,0,0,0,0
19,2017-07-28,1.0,94114.0,Very Low,0,1,0,0,0,0
20,2017-07-31,1.0,94117.0,Very Low,0,1,0,0,0,0
21,2017-08-01,0.0,94110.0,Very Low,0,1,0,0,0,0
22,2017-08-01,111277.0,94133.0,High,0,0,1,0,0,0
23,2017-08-07,1.0,94123.0,Very Low,0,1,0,0,0,0
24,2017-08-08,64650.0,94123.0,Medium,0,0,0,1,0,0
25,2017-08-16,7000.0,94122.0,Low,1,0,0,0,0,0
26,2017-08-18,1.0,94121.0,Very Low,0,1,0,0,0,0
27,2017-08-21,1.0,94117.0,Very Low,0,1,0,0,0,0
28,2017-08-21,1.0,94122.0,Very Low,0,1,0,0,0,0
29,2017-08-22,1.0,94102.0,Very Low,0,1,0,0,0,0
30,2017-08-23,1.0,94133.0,Very Low,0,1,0,0,0,0
31,2017-08-23,1.0,94114.0,Very Low,0,1,0,0,0,0
32,2017-08-23,0.0,94110.0,Very Low,0,1,0,0,0,0
33,2017-08-24,73000.0,94105.0,Medium,0,0,0,1,0,0
34,2017-08-25,1.0,94103.0,Very Low,0,1,0,0,0,0
35,2017-08-25,1.0,94115.0,Very Low,0,1,0,0,0,0
36,2017-08-28,1.0,94114.0,Very Low,0,1,0,0,0,0
37,2017-08-29,1.0,94110.0,Very Low,0,1,0,0,0,0
38,2017-08-29,1.0,94121.0,Very Low,0,1,0,0,0,0
39,2017-09-07,0.0,94133.0,Very Low,0,1,0,0,0,0
40,2017-09-08,1.0,94123.0,Very Low,0,1,0,0,0,0
41,2017-09-15,1.0,94121.0,Very Low,0,1,0,0,0,0
42,2017-09-15,0.0,94118.0,Very Low,0,1,0,0,0,0
43,2017-09-19,1.0,94115.0,Very Low,0,1,0,0,0,0
44,2017-09-21,1.0,94132.0,Very Low,0,1,0,0,0,0
45,2017-09-27,1.0,94123.0,Very Low,0,1,0,0,0,0
46,2017-09-28,1.0,94123.0,Very Low,0,1,0,0,0,0
47,2017-10-04,1.0,94112.0,Very Low,0,1,0,0,0,0
48,2017-10-11,14000.0,94134.0,Medium,0,0,0,1,0,0
